feature,importancia
glcm_contrast,0.13627499868406837
std_s,0.11263502640386094
mean_r,0.0948240687248217
mean_v,0.08433119476898897
mean_g,0.06389902211773607
mean_b,0.05878011097979055
glcm_energy,0.038629465484905076
glcm_homogeneity,0.03740636987421294
mean_h,0.037085599765417795
std_h,0.03644164223635685
std_b,0.029703176487274496
mean_s,0.02900766710115434
perimeter,0.028048674249859608
area,0.02435154431362223
std_g,0.022970510127549637
std_v,0.020696743999475898
std_r,0.020006506210564073
glcm_correlation,0.018898113828909276
solidity,0.015595081594315427
extent,0.013578953482707665
circularity,0.01282734951604549
eccentricity,0.011690359601203057
hu_7,0.011176997249566618
hu_3,0.010727063705347914
hu_4,0.010099469217180801
hu_5,0.005486365225673318
hu_2,0.005309444427197165
hu_6,0.004845876299173037
hu_1,0.004672604323020756
