grupo_features,qtd_features,modelo,accuracy_test,precision_defeituoso_test,recall_defeituoso_test,f1_defeituoso_test,erros_test
cor + textura + forma,29,SVM,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,1
todas,29,SVM,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,1
cor,12,SVM,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,2
cor + textura + forma,29,Random Forest,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,2
todas,29,Random Forest,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,2
cor + textura,16,SVM,0.9333333333333333,1.0,0.8666666666666667,0.9285714285714286,2
cor + textura,16,Random Forest,0.9,0.9285714285714286,0.8666666666666667,0.896551724137931,3
cor,12,Random Forest,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,4
textura,4,Random Forest,0.8666666666666667,0.9230769230769231,0.8,0.8571428571428571,4
textura,4,SVM,0.8333333333333334,0.8571428571428571,0.8,0.8275862068965517,5
forma,13,Random Forest,0.7666666666666667,0.7857142857142857,0.7333333333333333,0.7586206896551724,7
forma,13,SVM,0.7333333333333333,0.7058823529411765,0.8,0.75,8
